Rating,Date,Sentiment,Review content English,Actual Date
5,a day ago,positive,"My testimony is wounded in them because I see it as the best hospitals, a story of story.",2024-07-09 08:15:12.709766
5,a day ago,positive,"Dr. Basma Jaber Al -Dokkara, who is smiling, and relieves the patient, frankly, explains to the patient his condition with all respectful smoothness and accused of her patients.",2024-07-09 08:15:12.709766
5,a day ago,positive,"I thank my name and the name of my child, our Saudi German, the German, the most wonderful service.",2024-07-09 08:15:12.709766
1,a day ago,negative,"God suffices, and yes, the agent in you, Dr. Ahmed Adly",2024-07-09 08:15:12.709766
1,a day ago,negative,"Very very bad hospital, his status is shameful for her name",2024-07-09 08:15:12.709766
1,2 days ago,negative,"It is classified as a clinic, not the services hospital, very, very, very, very weak",2024-07-08 08:15:12.709766
1,2 days ago,negative,"I mean, I do not know frankness, where did the date of the date for 3 hours waiting for the filling that were the house of not the filling of the sheet of the paper that the doctor forgot my mouth and I left it for myself to the molar, all of you dressed in the filling",2024-07-08 08:15:12.709766
5,2 days ago,positive,"Thank you, thank you, the words, thank the nurse, Safaa",2024-07-08 08:15:12.709766
1,2 days ago,negative,"The hospital is very bad. Most of the employees are in the process of conducting the operations that leads me to the operations, the cleaning worker, unfortunately and cameras.",2024-07-08 08:15:12.709766
5,2 days ago,positive,Rogina and Zahra,2024-07-08 08:15:12.709766
1,3 days ago,negative,"I came to the appointment, but you could not sit for an hour until now, enter my appointment",2024-07-07 08:15:12.709766
5,3 days ago,positive,"My experience was frankly, the speed of my entry, the appointment, and the doctor, Basma, is excellent.",2024-07-07 08:15:12.709766
1,3 days ago,negative,"Khayes Mama was born and swollen over her tiredness, and there is no interest that gives them medicines and until the interference of Abra is a mistake and the blood is broken and swollen, and it is supposed to generate a natural generation, and it has a process of God, may God protect them, and yes, the agent instead of not receiving calls for champions we claim to them",2024-07-07 08:15:12.709766
5,3 days ago,positive,"A positive experience, Dr. Basma, the Department",2024-07-07 08:15:12.709766
5,4 days ago,positive,"Security man, Salem Saleh, the summit of ethics, dealing, assistance, and correct guidance, may God bless you and in the hospital security department",2024-07-06 08:15:12.709766
5,4 days ago,positive,"Al -Razhi witnessed the department of hypnosis procedures, very sophisticated and above the excellent.",2024-07-06 08:15:12.709766
5,5 days ago,positive,Ahmed Salama Abdul Majeed Pharmacy is excellent and the gentlemen of the doctors sincerely,2024-07-05 08:15:12.709766
5,5 days ago,positive,Basma Jaber is excellent,2024-07-05 08:15:12.709766
5,a week ago,positive,"Very very very excellent and I hope the most important more and I have operations, thank God",2024-07-03 08:15:12.709766
5,a week ago,positive,"The Medical Coordination Department for the best hypnosis procedures, especially mentioning Sister Nouf, thank you all",2024-07-03 08:15:12.709766
5,a week ago,positive,"Interest, thank God, I gave birth to them, and everyone is interested, and I actually, as my family, I thank the medical staff.",2024-07-03 08:15:12.709766
5,a week ago,positive,"Dr. Basma Jaber, the summit of humility and listening to the patient, the method of explaining to the patient, very cooperative, the patient, and the way to explain it to the patient is very excellent. I advise everyone to the internal doctor",2024-07-03 08:15:12.709766
4,a week ago,positive,"The reality of an experience, I thank Dr. Basma Jaber, thank you very specialized for the elderly, and I advise him with great age. I advise him to follow and reveal the doctor.",2024-07-03 08:15:12.709766
1,a week ago,negative,"There is no organization of the appointments in advance, long waiting for crazy prices for radiology in exchange for dealing not professional employees, and even the time of your role, you do not take your time completely.",2024-07-03 08:15:12.709766
2,a week ago,negative,"A star alone, because Dr. Mohamed Al -Rayhan is my racism and a high blowing to him, so I asked him if I was deducted for my work.",2024-07-03 08:15:12.709766
2,a week ago,negative,"The level of emergency reception staff and health practitioners is less medium, organizing and arrangement needs development",2024-07-03 08:15:12.709766
1,a week ago,negative,"Unfortunately, hospitals have developed for the treatment that is imposed by the least handling.",2024-07-03 08:15:12.709766
1,a week ago,negative,"We apologize for his interface through us, and for your consent, please contact the complaints section, the following number 0148406000",2024-07-03 08:15:12.709766
4,a week ago,positive,"My aunt was born with a very good friend, generally, in general, their service once, may God bless their hands, well -clean.",2024-07-03 08:15:12.709766
5,2 weeks ago,positive,"I thank you all, and I thank the pharmacy department, Abdul Majeed, very responsive and interested in details, thank you very much",2024-06-26 08:15:12.709766
5,2 weeks ago,positive,"Muhannad Al -Arwi Anwar, Mrs. Vei, Dr. Rehab, consultant Salah Al -Hamiri, Mr. Al -Fadil Hisham, the entry office",2024-06-26 08:15:12.709766
5,2 weeks ago,positive,The new administration is making an effort to thank,2024-06-26 08:15:12.709766
5,2 weeks ago,positive,Note Pharmacy Service Development,2024-06-26 08:15:12.709766
3,2 weeks ago,neutral,"Hello, we apologize and hope to clarify the reason for the negative evaluation, and we welcome any service notes. We hope that we will always be your belief.",2024-06-26 08:15:12.709766
5,2 weeks ago,positive,"I thank Abdul Majeed, his dedication, good creativity, and yes, I dealt with him with a confusion that serves you with his eyes",2024-06-26 08:15:12.709766
5,2 weeks ago,positive,Noticed positive Changes Recently in their Pharmacy Reging Quick Response and Quality of Service Keep it up,2024-06-26 08:15:12.709766
5,2 weeks ago,positive,Excellent service and distinguished medical staff,2024-06-26 08:15:12.709766
5,2 weeks ago,positive,"Muhammad Khan Nouf Al -Baladi Khaled Al -Ghamdi, Amna Al -Shanqeeti, the alternate director, Yasser Al -Sarrani",2024-06-26 08:15:12.709766
1,2 weeks ago,negative,"A very bad hospital, reception to the nurses, and above there is a monument and fraud, add a residence, and the feeder adds, and I have given him back to the reception.",2024-06-26 08:15:12.709766
1,2 weeks ago,negative,"A loyalty is the least star, so the hospital who has a relative loves him does not enter.",2024-06-26 08:15:12.709766
1,3 weeks ago,negative,The worst Kingdom Hospital is very long waiting periods,2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"Peace, mercy and blessings of God be upon you",2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"Carry the Saudi German Hospital application, you are estimated during the reservation of appointments and the choice of the doctor that suits you and there are many branches",2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"Special special thanks to Dr. Islam Ammar, consultant women and childhood consultant, good manners and high -end dealing, gave me what time is accurate with all the details. Explain my condition.",2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"I came to my sister, the emergency, and it was a good and upscale treatment, and the reception is good.",2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"Two days, the hospital, and the service was a wonderful best. I thank the nurse, Ziad Hassan, to deal with cooperation",2024-06-19 08:15:12.709766
1,3 weeks ago,negative,"Goodness, I booked Dr. Al -Ayoun, Shaima, never the situation.",2024-06-19 08:15:12.709766
1,3 weeks ago,negative,"A star to write my comment, I went to Dr. Mohamed Salah Mohamed, a nose, and his throat, a righteousness, revealed without rays.",2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"I would like to thank the Saudi German Hospital, especially the sister, Wafaa Al -Rashidi",2024-06-19 08:15:12.709766
5,3 weeks ago,positive,"Exit procedures were very fast and comfortable, thank the sister Mashael Al -Faidi",2024-06-19 08:15:12.709766
5,4 weeks ago,positive,This is a good hospital and doctor are good titment to the PRAM,2024-06-12 08:15:12.709766
5,4 weeks ago,positive,"God willing, an excellent service, Dr. Ibrahim Al -Aderat and Dr. Abdulaziz Marketing",2024-06-12 08:15:12.709766
1,4 weeks ago,negative,"The lowest star I put in the approval office, the insurance was broken, glow",2024-06-12 08:15:12.709766
5,a month ago,positive,"I would like to thank the appreciation of Dr. Heba Ghanem at the physiotherapy clinic, good and generous dealing, the sophisticated style, and her long experience, manual physical therapy, with a very high experience.",2024-06-10 08:15:12.709766
5,a month ago,positive,"I would like to thank the patient's experience, nursing staff, cleaning staff, attention, speed of response. Thank you very much",2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you for dealing with the teacher, Mashael",2024-06-10 08:15:12.709766
1,a month ago,negative,The reception of Mrs. Wafaa the reception department is very bad and without the hope that the truth is that you take the first level of reception at the level of the patient's experience.,2024-06-10 08:15:12.709766
1,a month ago,negative,"I swore what I entered the German Hospital while I was walking my man, but I did not enter me, and I don’t know anything of the worst hospital for a physical infection in a terrible way.",2024-06-10 08:15:12.709766
1,a month ago,negative,"We apologize for his interface through us, and for your consent, please contact the complaints section, the following number 0148406000",2024-06-10 08:15:12.709766
5,a month ago,positive,"Mashael Hamdi Al -Fayed, the names of the nurse, Dr. Talal Al -Jerisi",2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you, the wonderful and distinguished service",2024-06-10 08:15:12.709766
5,a month ago,positive,It is the Most Good Hospital for Pilgrims Hajj and Umrah,2024-06-10 08:15:12.709766
5,a month ago,positive,"Thanks to the sister Mashael Al -Nasr and a special thanks to nursing and Dr. Ahmed Al -Adly, may God bless you",2024-06-10 08:15:12.709766
5,a month ago,positive,The best,2024-06-10 08:15:12.709766
2,a month ago,negative,Reasonable pharmacy queue 30 people waiting 7 windows and three pharmacists only waiting for the pharmacy longer waiting for the doctor,2024-06-10 08:15:12.709766
5,a month ago,positive,"Professor Mashael, the exit coordinator, the top of taste and morals, I wish people deal with her costume once, thanks",2024-06-10 08:15:12.709766
5,a month ago,positive,Thank you very much to Dr. Abdel Nasser and nurse Amina. Thank you also to the coordinator,2024-06-10 08:15:12.709766
5,a month ago,positive,Special thanks to the sister Mashael facilitating and speeding the exit procedures,2024-06-10 08:15:12.709766
1,a month ago,negative,"There is no one for the reception, how long are I waiting for 20 minutes, the leather department is 25 pm",2024-06-10 08:15:12.709766
5,a month ago,positive,"The emergency department is collaborative and their morals are high, especially the nurse Hussein, may God give him wellness.",2024-06-10 08:15:12.709766
5,a month ago,positive,We thank Anfal her attention,2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you for the emergency reception employee, Rawan Hassan",2024-06-10 08:15:12.709766
5,a month ago,positive,"Excellent, Dr. Basma Jaber, may God give her well -being, is cooperative, kind, and listening to the patient",2024-06-10 08:15:12.709766
1,a month ago,negative,"I swear to God, I failed, I have a date last Thursday.",2024-06-10 08:15:12.709766
5,a month ago,positive,The best hospitals and medical staff actually confidence and services exceeding 5 stars. Thank you for the medical staff and reception staff and services,2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you, the depths of my heart",2024-06-10 08:15:12.709766
5,a month ago,positive,"Reception employees Maha Al -Mutairi and a very Nahd, cooperatives, and the kindness of God, may God bless them and facilitate them",2024-06-10 08:15:12.709766
5,a month ago,positive,"Sister Mashael Al -Faidi, coordinator of the exit procedures, thank her thanks",2024-06-10 08:15:12.709766
1,a month ago,negative,"The pharmacy must be solved for the number and the other text of an hour, we are waiting for our day to wait",2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you, Praise be to God, all things are easy with her and his sweet spirit, may God give you wellness",2024-06-10 08:15:12.709766
1,a month ago,negative,The hospital is only looking for a delay in medical approval and delaying the transfer of the patient except a room,2024-06-10 08:15:12.709766
5,a month ago,positive,I would like to thank the emergency doctor on the 21st day.,2024-06-10 08:15:12.709766
5,a month ago,positive,"We took the royal wing Qasu with us, the treatment is very excellent and the entry and exit seals are very excellent. Thank you.",2024-06-10 08:15:12.709766
4,a month ago,positive,Patient service employee wawa,2024-06-10 08:15:12.709766
3,a month ago,neutral,"The stars, and God deserves only the doctor whom I have reviewed is very excellent, may God grant him success, but reception, reservations, and Central.",2024-06-10 08:15:12.709766
5,a month ago,positive,"I have reassurance and I am in the experience of a distinguished guest, the Saudi German Hospital in Medina, the high -end handling and the care of the patient's care.",2024-06-10 08:15:12.709766
1,a month ago,negative,"The service evaluation is supposed to be a link, and not a connection.",2024-06-10 08:15:12.709766
5,a month ago,positive,Vry Good Services,2024-06-10 08:15:12.709766
5,a month ago,positive,"Masha'Allah holds 10 stars, Mashael, the coordinator of the exit of the nurse, Maryam bint Abboud Mumtazi",2024-06-10 08:15:12.709766
5,a month ago,positive,"The initial hospital is the beginning of the entry procedures office, the employee is respected, the procedures are easy, the room is comfortable, comfortable, clean, and the level of cooling and cleanliness is excellent.",2024-06-10 08:15:12.709766
3,a month ago,neutral,"We apologize, causing your inconvenience and your consent, please send the problem in detail by the following mail, MPEXperance Sghgroup Net",2024-06-10 08:15:12.709766
5,a month ago,positive,"Praise be to God today, a child with a child, I would like to thank the medical staff, the coordinator of the exit, the torches of the nurse, please Dr. Sarah Al -Hamad, for the very well of the reception.",2024-06-10 08:15:12.709766
5,a month ago,positive,"I thank the medical staff and thanks to the nurse, Saud Al -Jaber",2024-06-10 08:15:12.709766
1,a month ago,negative,Pharmacy 7 windows and unit employee,2024-06-10 08:15:12.709766
4,a month ago,positive,"The best private hospitals, the city, care, interest and good service. Try the birth twice. It was very excellent. The medical staff is distinguished. Thank you",2024-06-10 08:15:12.709766
5,a month ago,positive,"Hello, my wife was born our first birth in the hospital.",2024-06-10 08:15:12.709766
5,a month ago,positive,Thanks for the exit leaves formatting,2024-06-10 08:15:12.709766
